Word,Frequency
qatar,113
petroleum,587
qp,26
targeting,304
aggressive,189
cuts,213
greenhouse,1654
gas,19143
emissions,8207
prepares,44
launch,848
phase,1133
2,2467
planned,1028
48,433
million,6874
ton,229
per,3353
year,10945
lng,3214
expansion,1196
latest,2416
sustainability,2019
report,3611
published,4843
wednesday,541
said,16959
goals,2026
include,2078
reducing,1454
intensity,336
qatars,5
facilities,1964
25,1396
upstream,504
least,1582
15,1938
company,11583
also,15801
aiming,397
reduce,5028
flaring,77
across,5515
75,510
raised,559
carbon,9508
capture,2594
storage,13705
ambitions,360
5,1793
tonsyr,30
7,869
2027,268
22,571
goal,3580
come,2246
32,268
tonyr,15
1,3078
known,1007
north,3510
field,3639
east,1230
project,14048
11,844
south,3474
raise,452
capacity,7729
16,791
currently,2928
production,9137
around,5482
78,117
eyeing,42
phased,51
126,35
says,4206
able,2056
eliminate,294
routine,56
2030,3042
methane,1110
limited,1275
setting,496
target,1583
02,51
2025,1199
plans,3518
build,2873
gigawatts,458
solar,33465
energy,62487
half,1621
siraj,3
power,20288
next,4812
eif,23
jan2220,1
month,2131
little,1161
news,5157
massive,1124
mcdermott,27
international,6072
last,5817
week,3155
awarded,578
frontend,46
engineering,2079
design,2524
contract,1221
five,1720
offshore,5103
wellhead,48
platforms,325
lngi,30
jan1221,1
bids,283
construction,2942
four,1711
trains,143
submitted,345
september,989
sep1520,1
judged,13
expensive,1022
none,313
met,375
targeted,353
50week,1
schedule,229
shortlisted,21
contractors,464
asked,383
look,2121
cost,4648
savings,837
submit,198
new,20998
consultancy,250
rystad,203
estimates,633
worth,614
35,636
billion,3653
expected,3425
mar,44
31,318
shortly,105
select,177
foreign,333
investments,2182
partners,1780
take,3935
stakes,89
30,2062
exxon,110
mobil,36
royal,147
dutch,363
shell,1002
total,3085
chevron,486
conocophillips,130
eni,99
repeatedly,73
prepared,240
proceed,100
without,3842
investment,5233
determines,29
offers,1818
receives,80
sufficiently,83
attractive,441
companies,5445
bid,432
aggressively,71
worlds,356
lowestcost,28
environmentally,2084
friendly,313
nov920,1
